Keywords,Search Location,Job ID,Title,Company,City,Country,Type,Seniority,Posted,Collected Date,Applicants,Employees,Industry,Job URL,Job Description
Data Analyst,European Union,3927615333,"Data Analyst Intern
Data Analyst Intern",Foxintelligence,Paris,France,On-site,Internship,2024-05-04,2024-08-02,100,51,Market Research,https://www.linkedin.com/jobs/search/?currentJobId=3927615333&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
Chez Foxintelligence, nous sommes des amoureux de la data. 🤓

Notre mission est de rendre les consommateurs et les marques plus intelligents, grâce à une donnée de marché révolutionnaire issue de l'intelligence collective. Pour les consommateurs, Foxintelligence rend accessibles et utiles leurs données transactionnelles issues de leurs boîtes mail ou comptes bancaires. En les anonymisant, nous créons des statistiques uniques qui permettent aux marques de rester en phase avec les produits qui se vendent le mieux et les attentes des consommateurs.

Nous publions une application grand public aimée par des millions de personnes (Cleanfox, 15m+ de téléchargements, 4.8/5 💖 sur l'app store et le play store) et préparons le lancement d'une app de bilan carbone à l'expérience radicalement nouvelle. Grâce à notre plateforme data, elle va rendre possible une prise de conscience massive des enjeux du changement climatique 🌍 et des actions individuelles possibles pour le combattre. Nous pensons que l'information est une force de changement puissante, lorsqu'elle s'appuie sur la data.

Utilisant ces données personnelles totalement anonymisées, notre plateforme SaaS foxintelligence.io est devenue la référence de la market intelligence digitale en Europe avec des dizaines de grands groupes clients. Le point commun entre Deliveroo, Just Eat, Mano Mano, BackMarket ou The Boston Consulting Group ? Ils vont très vite (on ne s'ennuie pas avec eux !) et ils nous font tous confiance !

Soutenus par des investisseurs de premier plan (17m levés auprès de Daphni, Partech, GFC et eFounders) et récemment intégré au groupe NielsenIQ nous sommes maintenant à la conquête de l'Europe et en phase d'hyper-croissance.

Si notre FoxHQ reste à Paris, notre équipe de plus de 140 talents pluridisciplinaires (tech, data et business) travaille depuis partout en France et même en dehors (ex. Turquie). Nous pensons que notre politique remote-first, notre culture forte (bienveillance, exigence, résilience et data-first) et notre innovation permanente en termes de modes de travail (ex. grille de salaire transparente, formation au changement climatique, transparence sur la stratégie) sont les clés de notre réussite collective.... et de ta réussite avec nous !

Job Description

Foxintelligence recherche un(e) stagiaire Data Analyst.

Tu seras rattaché(e) à l'équipe Data Management et tu interviendras au niveau de l'enrichissement de la donnée. Cet enrichissement rend possible l'analyse de la donnée par nos équipes analytics et nos clients. Ton rôle sera de garantir que les champs enrichis aient le niveau de completion et de qualité attendues sur l'ensemble de nos industries (e-commerce, food delivery etc.) et territoires couverts (7 pays européens, ainsi que l'Inde).

Tes responsabilités au quotidien :

 Analyses : Faire des analyses approfondies sur une variété d'enrichissements comme l'âge des consommateurs ou la géolocalisation des commandes. Remettre en question ces enrichissements, identifier les améliorations nécessaires et aider à construire la roadmap qui nous permettra de scaler à l'international
 Qualité des données : Etre responsable d'une partie de la roadmap d'enrichissements, garantir la qualité de ces enrichissements et leur disponibilité à la date attendue. Travailler main dans la main avec les équipes commerciales pour répondre à leurs besoins avec les données les plus pertinentes
 Automatisation & Scale : Construire des outils de productivité à destination de ton équipe pour permettre de gagner en efficacité (définition de process transverses, automatisation de tâches avec Python, mise à disposition de dashboards Tableau/Looker d'investigations etc...)
 Projets stratégiques : Participer à des initiatives majeures et à fort potentiel pour Fox sur le plan Data. A titre d'exemple, deux de nos challenges actuels sont l'intégration avec NielsenIQ pour rendre possibles des analyses omnicanales (online/offline) et l'ouverture de plusieurs nouveaux marchés simultanément


Requirements

Compétences nécessaires (ce qu'il te faut pour réussir sur ce poste) :

Soft Skills

Tu sais résoudre des problèmes complexes en appliquant un raisonnement structuré basé sur la data
Tu aimes les challenges et as envie d'apprendre dans un environnement en hyper croissance
Tu es proactif(ve) et cherches à optimiser des process, pour être toujours plus efficace


Hard Skills

Tu maîtrises un ou plusieurs langages de programmation (SQL est un plus)
Tu sais manipuler de larges bases de données
Tu as déjà utilisé des outils de data visualization


Compétences bonus

Tu as une première expérience en data dans des startups/boites tech ou au sein d'une société de conseil
Tu es familier des problématiques business du e-commerce
Tu maitrises de Tableau, Github, Regex


Ladies

Les études montrent que les femmes ont moins tendance à postuler à une offre d'emploi quand elles n'ont pas toutes les qualifications requises. Ladies, ne vous mettez pas de barrière et donnez-nous la chance de nous faire notre propre avis, nous serons toujours ravis d'échanger avec vous ! Si notre raison d'être vous parle, postulez !

Self-made data lovers

Les diplômes c'est bien, les skills c'est mieux et l'expérience t'en donne. Aucun diplôme n'est requis chez nous, c'est les compétences et l'énergie qui comptent !

Recruitment process

 Round 0 : entretien (fit) avec un membre notre équipe HR 
 Round 1 : entretien (expérience et fit) avec un(e) Senior Data Analyst de l'équipe
 Round 2 : test technique
 Decision Round : entretien avec notre Lead Data Analyst


Benefits

Avantages/ce que nous offrons

Rémunération Compétitive
Remote friendly (+ budget aménagement de l'espace de travail @Home)
Carte ticket restaurants (Swile) pris en charge à 60% par Fox
Culture forte et pratiques de management à la pointe (stratégie et résultats financiers transparents, feedback 360, grille de salaire innovante et transparente etc"""
Data Analyst,European Union,3985582505,"Data Analyst Intern
Data Analyst Intern",Echo Analytics,Paris,France,On-site,N/A,2024-07-19,2024-08-02,0,51,Software Development,https://www.linkedin.com/jobs/search/?currentJobId=3985582505&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
🚀 Founded in 2021, Echo's narrative is one of relentless growth, ambition, and promise. A cutting-edge startup at the forefront of Geospatial Data and Gen AI technologies, we have skyrocketed from 0 to 80+ employees in just three years!
Specialists in the location intelligence industry, we empower innovation by helping companies better understand the world around them.
In a world inundated with data, quality is crucial. We use data science, machine learning, and human feedback to build Europe's most comprehensive, high-quality datasets, enriched with differentiating attributes that outmaneuver the competition.
We aren’t just about reliable data (read: unmatched quality) though.
Life at Echo is about individual growth, collective ambition, and a culture that values and celebrates diversity; With a """"people first"""" philosophy guiding everything we do.
You'll be at the heart of innovation, tackling projects that shape our future, with the best people possible!

Your Role at Echo 
Are you a Master’s candidate passionate (ideally) about data analysis and programming? Join us for a six-month internship as a Data Analyst Intern. Dive into diverse datasets - geospatial, trajectory - using tools like BigQuery, Looker, Python, and Airflow.

Collaborate with ML experts, data engineers, scientists, and product managers on real-world projects. Apply data analysis techniques to solve business challenges and make impactful contributions to geo-spatial datasets.

This internship offers hands-on experience and a dynamic environment to explore and implement new algorithms, contributing to the scaling of our products. Make a real-world impact with your passion for data!

As such, your main responsibilities will be:
Collaborate closely with the sales team in order to deliver analytical geospatial samples for our clients and prospects using sql or python
Support the data team on the automation of the delivery process
Collaborate with the data science and product management team to find solutions to improve the data quality of our product
Work on several projects that aims to improve and optimize our geospatial products
Be proactive in investigating and testing new tools, processes, and technologies on an ongoing basis

What we’re looking for:
Currently pursuing a Master's degree in Data/Business Analytics, Computer Science, Engineering or a related field
Data Analysis: Proven ability to analyze large datasets, identify trends, and extract actionable insights through using strong SQL skills for querying and data extraction
Programming Languages: Python is a plus, especially Pandas for data manipulation and analysis and Airflow for data orchestration
Data Visualization: Knowledge in creating interactive and insightful visualizations, using tools like Looker or Tableau..
Problem-solving: Adept in approaching analytical problems and proposing effective solutions
Excellent communication skills for conveying complex technical concepts to non-technical stakeholders, in English
Strong team player with the ability to collaborate effectively in a fast-paced environment

Some preferred requirements:
Comfortable working with the Google Cloud Platform stack or another cloud environment
Experience with a version control system like GitHub or Gitlab
Experience with data engineering tools like Airflow
Experience with spatial-temporal datasets

Why us?
🌎 A great diverse and international team based in Paris (25+ nationalities!)
🚀 Impact and ownership mindset: at Echo we encourage everyone to take ownership of their projects
🎇 People first company: without our people we have no business, we have dedicated a People Manifesto to them
🌆 A contemporary office space in central Paris with a rooftop to admire the view
💻 Remote-friendly policy
🥘 Free coffee, snacks on top of your lunch voucher card (Swile, 10€/ working day)
Still hesitating or feeling like you don’t check all the boxes? We encourage you to apply anyway! 🙂
Best case scenario: we start an incredible collaboration. If not, you only invest a few minutes towards your application. We promise, you won’t regret it!

We are committed to providing equal employment opportunities regardless of gender, sexual orientation, origin, disabilities, or any other traits that make you who you are."""
Data Analyst,European Union,3988104437,"Junior Data Analyst
Junior Data Analyst",ISO,Cracow,Poland,On-site,Entry level,2024-07-31,2024-08-02,85,5001,Insurance,https://www.linkedin.com/jobs/search/?currentJobId=3988104437&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
Company Description

We help the world see new possibilities and inspire change for better tomorrows. Our analytic solutions bridge content, data, and analytics to help business, people, and society become stronger, more resilient, and sustainable.

, Job Description

The ISO unit of Verisk is looking forInsurance Data Analyststo support our large team of actuaries and data analytics experts, who create innovative analytic products based on our unique database of over 21 billion records spanning more than twenty lines of insurance.

You will play a hands-on role in developing new processes to create a wide variety of ISO’s analytic solutions including our advisory prospective loss costs and rating factors; analyses that underlie the development of our loss costs (such as distributions by peril, classification, or geographic area); actuarial projection of ultimate claims, and analysis of trends impacting premiums and claims; analytical data management, including smart data quality analytics, data aggregations provided to US state insurance regulators and analytic research & development.

A successful Insurance Data Analyst will possess excellent technical and mathematical skills, to manipulate data and derive analyses. Most important, though, is a sense of inquisitiveness about data, and the ability not just to manipulate data, but to also understand and preserve the business meaning behind it.

, Qualifications

Fluency in English is required (at least B2 spoken and written)
Knowledge of Excel (pivot tables, formulas, conditional formatting)
Attention to detail to follow elaborate instructions and to spot even little differences in data
Experience with big data sets (10 000+ rows)
Familiarity with SQL will be an asset but not required
Willing to work in a hybrid model as a full-time employee and grow within an insur-tech company
Ability to manage competing, high-priority demands and prioritize workloads while managing projects and multiple responsibilities against strict deadlines
Strong interpersonal/collaboration skills and ability to build relations with internal stakeholders

Additional Information

For over 50 years, Verisk has been the leading data analytics and technology partner to the global insurance industry by delivering value to our clients through expertise and scale. We empower communities and businesses to make better decisions on risk, faster.

At Verisk, you'll have the chance to use your voice and build a rewarding career that's as unique as you are, with work flexibility and the support, coaching, and training you need to succeed.

For the eighth consecutive year, Verisk is proudly recognized as a Great Place to Work® for outstanding workplace culture in the US, fourth consecutive year in the UK, Spain, and India, and second consecutive year in Poland. We value learning, caring and results and make inclusivity and diversity a top priority. In addition to our Great Place to Work® Certification, we’ve been recognized by The Wall Street Journal as one of the Best-Managed Companiesand by Forbesas a World’s Best Employer and Best Employer for Women, testaments to the value we place on workplace culture.

We’re 7,000 people strong. We relentlessly and ethically pursue innovation. And we are looking for people like you to help us translate big data into big ideas. Join us and create an exceptional experience for yourself and a better tomorrow for future generations.

Verisk Businesses

Underwriting Solutions— provides underwriting and rating solutions for auto and property, general liability, and excess and surplus to assess and price risk with speed and precision

Claims Solutions— supports end-to-end claims handling with analytic and automation tools that streamline workflow, improve claims management, and support better customer experiences

Property Estimating Solutions— offers property estimation software and tools for professionals in estimating all phases of building and repair to make day-to-day workflows the most efficient

Extreme Event Solutions— provides risk modeling solutions to help individuals, businesses, and society become more resilient to extreme events.

Specialty Business Solutions— provides an integrated suite of software for full end-to-end management of insurance and reinsurance business, helping companies manage their businesses through efficiency, flexibility, and data governance

Marketing Solutions— delivers data and insights to improve the reach, timing, relevance, and compliance of every consumer engagement

Life Insurance Solutions– offers end-to-end, data insight-driven core capabilities for carriers, distribution, and direct customers across the entire policy lifecycle of life and annuities for both individual and group.

Verisk Maplecroft— provides intelligence on sustainability, resilience, and ESG, helping people, business, and societies become stronger

Verisk Analytics is an equal opportunity employer.

All members of the Verisk Analytics family of companies are equal opportunity employers. We consider all qualified applicants for employment without regard to race, religion, color, national origin, citizenship, sex, gender identity and/or expression, sexual orientation, veteran's status, age or disability.

http://www.verisk.com/careers.html

Unsolicited resumes sent to Verisk, including unsolicited resumes sent to a Verisk business mailing address, fax machine or email address, or directly to Verisk employees, will be considered Verisk property. Verisk will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume."""
Data Analyst,European Union,3986942433,"Junior Data Analyst
Junior Data Analyst",Intale,Athens,Greece,On-site,Associate,2024-07-30,2024-08-02,100,11,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3986942433&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
Intale is a VC backed retail-tech company that consists of gifted people that are not afraid to get their hands dirty.

Here we give superhero powers to small local retail stores, transforming them into a state-of-the-art, cutting-edge business. We have vowed to remove the slack and the fragmentation from offline retail. We achieve that through our platform that connects stores, distributors and retail manufacturers, creating a unique transparent marketplace.

Do you love helping businesses make data-driven decisions? Do you have a passion for analyzing data and finding trends?

Our team is expanding and we are looking to add a passionate Junior Data Analyst who who get his/her hands dirty with raw data, package it in meaningful ways and work with our key clients to deliver value adding actionable insights.

Your role will be to:

Develop a deep understanding our core data, structures and insight possibilities
Design categories and subcategories to slice and dice the data in meaningful ways
Ensure that the quality of the data is of the standards promised to our clients
Introduce the new products into our Universal Product database and set up the relevant processes and workflows
Extract the data and analyze it using a standard business intelligence tool


Requirements

You should have a genuine passion for data and data-driven decision making. Additionally:

Strong verbal and written communication skills (Greek/English)
Degree in statistics, math and/or computer science
Very good knowledge of MS SQL and/or MySQL
Very good knowledge of MS Excel
Experience in the use of business intelligence tools (e.g. Tableau) will be considered a plus
Expertise in Retail and/or FMCG Industry will be considered a plus
Flexibility in approach and innovative thinker


Benefits

Our people mean the world to us, and we only recruit the best. For the talents in our business, we offer great benefits and opportunities to develop with us.

Competitive package
Private health insurance plan
Training and advancement opportunities

Think you fit the bill? Tick the boxes, we need to talk."""
Data Analyst,European Union,3987193886,"Data Analyst Intern
Data Analyst Intern with verification",Mirakl,Paris,France,On-site,N/A,2024-07-30,2024-08-02,93,501,Software Development,https://www.linkedin.com/jobs/search/?currentJobId=3987193886&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
Mirakl is the global leader in platform business innovation. Mirakl's suite of solutions provides enterprises with a transformative way to drive significant growth and efficiency in their online business.

Since 2012, Mirakl has been pioneering the platform economy, empowering retail and b2b enterprises with the most advanced, secure and scalable technology to digitize and expand product assortment through marketplace and dropship, improve efficiency in supplier catalog management and payments, personalize shopping experiences, and boost profits through retail media.

Mirakl is trusted by 400+ industry-leading businesses worldwide including Macy’s, Decathlon, Kroger, Airbus, Toyota Material Handling and Sonepar.

Headquartered in Paris and Boston and with offices in 7 countries, Mirakl is recognized as a Great Place to Work company.

Your Impact:

As a Data Analyst Intern, you will have the opportunity to play a crucial role in accelerating the implementation of vertical go-to-market strategy at Mirakl.

Your role:

Harness advanced technologies such as Python (with a particular focus on using the pandas library to transform and analyze data), HTML, SQL, and API calls to generate scalable insights, ensuring their dissemination across Mirakl’s Go-to-Market resources (AEs, BDRs, Marketing, Partner ecosystem).

Accelerate the personalization efforts by collaborating with the BDR team to create Persona based outreach e.g. CEO, Head of ecommerce, Head Merchandiser etc.

Collaborate with our Platform Advisory Team to ensure we are integrating their market developed insights into all GTM resources

Your profile:

Currently pursuing higher education in Business, Economics, Finance, or a related field and looking for a 6 months internship based in Paris, starting in September 2024
Ideally, experience working on projects supporting sales teams (sales ops or revenue ops)
Proficient in Python (with experience using the pandas library for data manipulation),HTML, SQL, and APl calls
Fluent in English and in French
Basic knowledge of AI and the ability to utilize to improve efficiency
Ability to be laser focused on a singular task, and a tenacity to always solve the problem regardless of the hurdles faced
Acute attention to detail paired with commendable analytical prowess
Solid grasp of technological advancements and their utility in elevating operational efficiency


What We Offer:

Internship compensation: between 1200 € and 1400 € per month (depending on profile)
A workplace that promotes well-being and balance: breakfasts, sports and yoga classes, aperitifs, game nights..
A tailor-made integration path to quickly gain skills
Empowering and evolving missions to get the most out of this experience
A unique opportunity to discover a French unicorn in full expansion and work with international teams
Access to our CSE discounts (ticketing...)
A healthy mind in a healthy body, take time for yourself with the Gymlib pass!
Modern offices in the heart of Paris (at the foot of the Eiffel Tower)
Swile meal voucher card
Transportation costs covered (Navigo at 50%, bike, etc.)


Hiring Process: 

A first Phone Screen with one of our Talent Acquisition Specialist 
Two interviews where you will meet your future manager and a coworker. STAR methodology will be use
Welcome to Mirakl!


We welcome collaborators with their diverse perspectives and experiences to power us forward. These often far exceed conventional job requirements and help us create a culture of continuous learning. If you’re ready to join a hyper-growth company at the heart of digital transformation for the world’s most forward-thinking organizations, we strongly encourage you to apply to any of our roles, even if you think you’re not an exact match."""
Data Analyst,European Union,3991308832,"Graduate Data Analyst
Graduate Data Analyst",Baresquare,Thessaloniki,Greece,On-site,Internship,2024-08-02,2024-08-02,34,11,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3991308832&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
Baresquare is changing the world of analytics as we know it. We're dedicated to simplifying the complex, helping people take action faster, and harnessing the power of AI for positive global change. And we're always looking for talented people to join us.

If you are a passionate individual with strong numeric literacy, an eye for detail, and a thirst for knowledge, we would love to hear from you!

This is a role for graduates in the Business and Analytics fields who want to start their careers in the expanding and fast-paced area of Digital Analytics. Prior working experience is not a prerequisite. By joining our team, you will have the opportunity to work with a team of experts & collaborate on enterprise client projects.

 Indicative areas of responsibility: data entry, data extraction & manipulation, reporting & visualization, exploratory analysis, workflow automation
 Indicative tools: Google Analytics, Data Studio, Google Sheets, Excel

This is a 6-month, paid internship placement. The role is based in Thessaloniki, Greece. For this position, we operate in a hybrid, office-first model (at least 3 days/week at the office).

Requirements

Required skills

A University degree in a quantitative field (Mathematics, Informatics, Economics etc.)
Strong analytical skills and an eye for detail
Advanced spreadsheet skills
Self-motivated with a constant drive for improvement
Good verbal and written communication skills in English

Desired skills

MSc or MOOC Certification in Data Analytics / Data Science
Google Analytics Individual Qualification (GAIQ) Certified


Benefits

Attractive compensation package
Ongoing personal development, building strong experience on the leading data platforms and technologies
The chance to make a tangible impact by generating actionable insights that contribute to strategic decision-making within our clients
Work in a dynamic international environment, with clients located around the world, and in collaboration with the industry's experts"""
Data Analyst,European Union,3960246766,"Data Analyst
Data Analyst with verification",LatentView Analytics,Dublin,Ireland,On-site,Associate,2024-07-12,2024-08-02,100,1001,Business Consulting and Services,https://www.linkedin.com/jobs/search/?currentJobId=3960246766&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
Hiring Mode: Full-time with LatentView Analytics
Experience Level: 2 – 6 Years
Location: Dublin, Ireland
Must have: Analytics, Advance SQL, Tableau, Python
Good to Have: GCP (Google Cloud Platform)

Job Brief:
We are looking for an Analyst/Senior Analyst who will be responsible for working with the LatentView Analytics Offshore team to provide analytical support across various business requirements

Responsibilities:
Develop and build the tables needed to support the vendor operations team
Maintain and execute SQL scripts and workflows
Process data using SQL code that complies with SQL style guides and check-in principles
Communicate and update stakeholders through support tickets
Update and maintain permissions systems throughout the data warehouse
Apply privacy rules and regulations (including GDPR) according to the client’s written instruction
Work with the client managers and business analysts to understand, design and improve data sources powering the front-end programs and reports
Work with the client managers and business analysts to understand, design and build reporting solutions.

Key Requirements:
Strong SQL, Data Visualization, problem solving skills with written and verbal communication. 
Keen eye for automation and creating infrastructure with strong documentation and ease of modifying based on stakeholder requirements.
Ability to read and comprehend documentation sources such as SQL codes, PPTs, Google sheets and quickly be able to apply the learnings to modify/solve custom use cases. 
Experience with GCP is an added advantage"""
Data Analyst,European Union,3989112432,"Data Analyst
Data Analyst",Liferay,Madrid,Spain,On-site,Mid-Senior level,2024-08-02,2024-08-02,0,1001,Software Development,https://www.linkedin.com/jobs/search/?currentJobId=3989112432&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
Description

About Liferay

Liferay is a uniquely profitable B2B enterprise software company with 1,200+ fiery-eyed employees all across Europe, the Americas, the Middle East, Asia, and Africa. As a renowned provider of enterprise open source technologies, we have been recognized by Gartner for empowering businesses around the world to solve complex digital challenges. Liferay Experience Cloud is an all-in-one solution that unites our Liferay DXP and cloud platform capabilities with built-in analytics and B2B commerce functionality, reducing the time to market and allowing for accelerated innovation - serving notable customers across the globe such as Airbus, US Bank, Honda, and Desjardins.

But we don’t just make awesome software, we are also fueled by a greater-than-profit vision. By building a vibrant business, making technology useful, and investing in communities, we make it possible for people to reach their full potential to serve others. We give our employees five days off to volunteer at charities they’re excited about, and Liferay donates 10% of our profits to charities around the world. Oh, we’re also self-funded which gives us the freedom to work on whatever we think brings the most value to customers and communities in the long run!

About You And This Role

You have that rare ability to bridge two worlds, the human and the technical. You can draw out complex ideas

from stakeholders and distill them into achievable goals. You understand the synergy between requirements

and test plans and are experienced in driving product improvements from requirements gathering till

completion. You like being given the space to run in a global open source company to help deliver creations

that are intuitive and sharp. Sounds like you? Apply now and let’s chat.

Key Objectives

Support data collection efforts by identifying relevant data sources and working with stakeholders to understand their data needs.
Assist in data cleaning, transformation, and preparation for analysis using your SQL techniques.
Perform basic data analysis under guidance, identifying trends and patterns.
Support the creation of clear and informative reports and dashboards to monitor key metrics as well as maintain current dashboards and reports used to support critical business monitoring goals.
Convey insights through both reports, dashboards and visual presentations.
Collaborate with team members and cross functional teams to understand and support ongoing projects.
Assist in the development of self-service tools and internal documentation resources.
Seek opportunities to learn and apply new data analysis techniques and tools.
Contribute to a culture of data-driven decision making.

Required Qualifications

 3+ years of work experience in Data Analysis, Business Analysis or relevant experience in analytical tasks or projects working with data.
Experience in working with multiple stakeholders and prioritizing competing requests.
Experience rolling out BI tools/metrics at a global level managing relationships with cross functional teams
Excellent decision-making, critical thinking and problem-solving skills.
Strong written and verbal communication skills.
Excellent oral and written English communication skills (minimum C1 level-proficient user)
Team player, with strong interpersonal skills and skilled in developing collaborative relationships.
Self-starter, quick learner, detail-oriented and proactive in completing responsibilities.
Highly motivated, independent and deeply passionate about sustainability and impact.
Demonstrated experience in data analysis languages as SQL, Python and/or R
Story- telling and visualizing, experience in Tableau or otherBI/Reporting tools

Preferred Qualifications

BA/BS degree in Bachelor degree in STEM field or similar, or 5+ years of equivalent work experience.
Experience with JIRA 

What We Offer

Salary package w/ competitive benefits according to qualifications and experience
Opportunities to take responsibility, grow professionally, and Stay Nerdy
A positive and collaborative work culture
Check out what employees say about us on Glassdoor 
Working at a leading open-source company

Equal Opportunities Employer - Statement

Liferay is committed to the equal treatment of all candidates, customers and employees and to fostering a culture of dignity at work. Our operating procedure provides for equal opportunities in recruitment and employment with the aim to eliminate discrimination against any job applicant or employee on the basis of race, age, sexual orientation, gender, religion or beliefs, marital or civil partnerships status, family or dependency status, disability, pregnancy and maternity or membership of a traveling community."""
Data Analyst,European Union,3973628894,"Data Analyst
Data Analyst",Pluxee,Paris,France,On-site,Mid-Senior level,2024-07-12,2024-08-02,100,5001,Consumer Services,https://www.linkedin.com/jobs/search/?currentJobId=3973628894&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
Pluxee is a global player in employee benefits and engagement that operates in 31 countries. Pluxee helps companies attract, engage, and retain talent thanks to a broad range of solutions across Meal & Food, Wellbeing, Lifestyle, Reward & Recognition, and Public Benefits.

Powered by leading technology and more than 5,000 engaged team members, Pluxee acts as a trusted partner within a highly interconnected B2B2C ecosystem made up of more than 500,000 clients, 36 million consumers and 1.7 million merchants.

Conducting its business as a trusted partner for more than 45 years, Pluxee is committed to creating a positive impact on all its stakeholders, from driving business to local communities, to supporting wellbeing at work for employees while protecting the planet.

🚀 Your next challenge 

Pluxee Data organization has chosen a decentralized Data Hub (central) & Data Spoke (local) organization where the Spokes are data factory teams covering multiple countries' Data needs and supporting business teams by delivering operations reporting, the ad-hoc analysis supporting decision making and advanced insights aiming at predicting clients, merchants, or consumers behaviors.

To support this objective, your responsibilities will encompass:
Data Analysis and interpretation: collecting and analyzing data from various sources to identify trends and insights relevant for business improvement.
Visualization and reporting: developing clear and informative dashboards and reports using data visualization tools to effectively communicate findings to business teams.
Decision support: providing ad-hoc analyses and statistical modeling to assist business teams in making informed decisions and defining key performance indicators (KPIs) to measure progress.

🌟 You’re a match

Technical Skills:
5 years of experience as Data Analyst with at least 3 years in a permanent full time Data Analyst role. 
Experience supporting business areas in E2E Data Analysis and Visualization process, from gathering stakeholder´s requirements to data collection, cleaning, analysis, and dashboard, reporting, and KPIs design and delivery.
+3 years of work experience using SQL on daily basis.
+3 years of work experience with Data Visualization tools, with at least 2 years experience using Power BI and DAX with advanced proficiency and storytelling skills.
Knowledge of machine learning techniques, enabling advanced data analysis will be a plus Examples: Fraud detection, scoring, attrition.
Experience working with agile methodologies and tools such as Jira. 
Experience in finance or payment services companies will be a plus.
Excellent communication skills, oral and written, with the ability to interact with different types of stakeholders (technical, non-technical, C level).
Bilingual in French and Advanced level in English as will be working with Global teams.
Ability to work in a hybrid mode (3 days at the office and 2 days at home).

Soft Skills:
Effective communication: strong verbal and written communication skills in both French and English, adept at interacting with diverse stakeholders with varying cultural backgrounds and technical expertise.
Analytical thinking: highly analytical and detail-oriented, with a knack for problem-solving and extracting insights from complex datasets.
Proactive and motivated: proactive attitude, hands-on approach, and a high level of motivation to learn quickly and adapt to new challenges in an ever-moving domain.

🔎 To get this challenge
Videocall with Talent Acquisition Expert.
Videocall with the Hiring Manager (Data Spoke Manager).
Technical interview.

🏅 Your team
Reporting to Jean Francois Prince (Data Spoke Manager).

📍 Your Location
Central Paris, Paris.
Ability to work in a hybrid mode (3 days at the office and 2 days at home).

☀️ Happy at work
A meaningful job: build the future of employee benefits and contribute to the quality of life at work for others, you will impact positively local communities too. It counts!
A great culture: we respect and care authentically about our people, we embrace work-life balance, new ideas and we have a lot of fun!
Employee experience is what we do. So, you can expect a comprehensive package including benefits and an annual bonus based on performance.

About Pluxee
Working at Pluxee is joining a multicultural team that moves as one. It’s also a place where your individual ideas, perspectives, and input count. You’ll be given the freedom and autonomy you need to do impactful work, supported by a team that cares about your well-being, growth, and work/life balance.
It’s the agility you’d expect from a fast-growing small business, with the stability that only a globally renowned company with +45 years in the business can offer. Put a part of yourself into the future of employee benefits and meaningfully contribute to lives and communities worldwide."""
Data Analyst,European Union,3970626757,"Data Analyst (Junior 1-3 Years)
Data Analyst (Junior 1-3 Years)",Sigmaways Inc,Amsterdam,Netherlands,On-site,Associate,2024-07-12,2024-08-02,100,51,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3970626757&keywords=Data%20Analyst&location=European%20Union&refresh=true,"""About the job
We are looking for a junior Data Analyst/Excel specialist that can help to create data input templates in Excel and Microsoft Forms in order to collect ESG data from different parties. The specifications for the templates and forms from and ESG perspective are clear, but we need help in developing the templates and forms. Besides developing the templates and forms, we want to create some automations with the use of MS Power Platform. The specialist needs deep knowledge on Excel, MS Forms, SharePoint, the MS Power Platform and experience in data collection.

Responsibilities:
Building the ESG data input templates & forms: using Excel, Microsoft Forms, Power Automate or similar readily available technologies to the specifications set by ESG Reporting and ESG Risk
Ensure the temporary data collection “tool” will be able to integrate with current and future Ingka Investments and /or Ingka Group, data platform(s), ESG Dashboard to be improved per specifications set by ESG Reporting and ESG Risk

Digital Skills Requirements:
Advanced Microsoft Excel. Able to create semi-advanced forms based on excel (e.g., with macros, protected sheets).
Microsoft Forms. Able to create (semi-advanced) MS forms
SharePoint.Able to design access control for shared document access in SharePoint
Power Platform. Able to create advanced review flows, logic to process incoming documents/forms, in integration with other Microsoft products, e.g., Forms, Outlook
Experience in data collection process"""
