Keywords,Search Location,Job ID,Title,Company,City,Country,Type,Seniority,Posted,Collected Date,Applicants,Employees,Industry,Job URL,Job Description
Data Engineer,European Union,3973396559,"Junior Data Engineer (20 - 30K)
Junior Data Engineer (20 - 30K)",zenital,Barcelona,Spain,On-site,Entry level,2024-07-19,2024-08-02,0,11,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3973396559&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
zenital offers quality data services that empower brand new solutions. We are currently looking for a Junior Data Engineer to help us to achieve the next level in our goal to transform how people understands and works with data.

We are working in mid-market international customers such as airlines, logistic operators and consumer products distributors with modern data architectures and honest long-term relationships allowing us to excel at our work.

What do we need for you? 🧐

Be a nice person and empathetic
Strong technical skills and data engineering fundamentals
Master SQL
Up to 2 years experience working with BI tools like PowerBI, Tableau
Up to 2 years in data integration and modeling experience
Up to 2 years working in technical teams

Extra points ⚡

Experience with distributed computing platforms and environments such as Databricks, Azure data suite and/or AWS data suite.
Extra points: Experience programming with Scala or Python in a production environment

What will you get from this opportunity?

Salary from 20 to 30k euros (depending on the experience)
Starting with 23 vacation days and additional 2 days for each year worked, up to 28 days.
2 days off at Christmas.
Flexible schedule and the option to work remotely or from our offices in Barcelona.
Offsite events throughout the year, fostering a great working environment. (If you are wondering how is the zenital offsite style you can imagine Barcelona, Bilbao, Porto, and activities like surfing, winery, partying… 😉)
Specific training and certifications according to your needs.
We believe in innovation and pursuing great ideas! You will be able to give your opinion and make your ideas come to life."""
Data Engineer,European Union,3989154895,"Data Engineer
Data Engineer",NeoGames,Cracow,Poland,On-site,N/A,2024-08-02,2024-08-02,0,501,"Technology, Information and Internet",https://www.linkedin.com/jobs/search/?currentJobId=3989154895&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
NeoGames is a leader in the iLottery and iGaming space offering solutions spanning game studios, game aggregation, lotteries, online casino, sportsbook, bingo, and managed services offered through an industry leading core platform.

The Data & BI team owns the group’s Data & Analytics platforms spanning Data Engineering,

Analytical Engineering and Business Intelligence to lead the group’s data-driven modernisation both internally and for its clients.

The Data Engineer will play a vital role as part of a cross-functional team to develop data pipelines to ingest, transform, distribute and expose data from the group’s Core Data Lake for integration, reporting, analytics, and automations.

Responsibilities:

Create data pipelines — both as batch and in real-time — to ingest data from dissimilar sources
Collaborate with the other teams to address data sourcing and provision requirements
Design and monitor robust, recoverable data pipelines following best practices with an eye out for performance, reliability, and monitoring
Innovation drives us — carry out research and development and work on PoCs to propose, trial and adopt new processes and technologies
Coordinate with the Product & Technology teams to ensure all platforms collect and provide appropriate data
Liaise with the other teams to ensure reporting and analytics needs can be addressed by the central data lake
Support the Data Quality and Security initiatives by building into the architecture the necessary data access, integrity, and accuracy controls

Requirements:

3+ years of experience in Data Engineering
Degree in Computer Science, Software Development or Engineering
Proficient in Python. Past exposure to Java will be considered an asset
Understanding of RDMS, Columnar and NoSQL engines & their performance
Experience with cloud architecture and tools: Microsoft Azure, Amazon or GCP
Experience with orchestration tools such as Apache AirFlow, dbt
Prior exposure to the Snowflake ecosystem will be considered an asset
Familiarity with Docker/Kubernetes and containerisation
Strong background in stream data processing technologies such as NiFi, Kinesis, Kafka
A grasp of DevOps concepts and tools including Terraform and Ansible are an advantage
Understanding of distributed logging platforms — ideally the ELK stack

Skills:

Fluency in spoken and written English is essential
Passionate about data and on the lookout for opportunities to optimise
Passionate about technology and eager to trial and recommend new tools or platforms"""
Data Engineer,European Union,3989268596,"Data Engineer
Data Engineer",XYB,Tallinn,Estonia,On-site,Entry level,2024-08-01,2024-08-02,0,51,"Technology, Information and Internet",https://www.linkedin.com/jobs/search/?currentJobId=3989268596&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
XYB is a leading global fintech company dedicated to transforming and revolutionising the financial services landscape. Through its coreless banking platform and ecosystem, XYB empowers banks and non-banks to provide accessible and comprehensive financial services to individuals and businesses. By combining advanced technology, comprehensive managed services, and fostering collaborative partnerships, XYB accelerates time to value, creates unparalleled growth opportunities, and enables financial institutions to thrive in the rapidly evolving digital era.

Your Responsibilities:

Design, develop, and build data models to meet both functional and non-functional business requirements
Create and maintain optimal data pipelines for efficient data processing
Ensure compliance with service level agreements (SLA)
Collaborate with stakeholders, including Engineers, Product teams, Business Intelligence, and Data Science, to resolve data-related technical issues and support their data infrastructure needs
Identify, design, and implement internal process improvements, such as automating manual processes, optimizing data delivery, and redesigning infrastructure for greater scalability

Our Requirements:

Proven experience with data analysis
Hands-on experience with ETL tools
Analytical mindset with experience in writing SQL (preferably at an intermediate level)
Experience working with large datasets
Great attention to detail
Ability to interpret and present various datasets
High proficiency in both spoken and written English

If you feel that this job offer is just right for you and you have proof of previous experience, we look forward to your application and await your CV."""
Data Engineer,European Union,3977256230,"Data Engineer
Data Engineer",Seqana,Berlin,Germany,On-site,Associate,2024-07-19,2024-08-02,100,11,Software Development,https://www.linkedin.com/jobs/search/?currentJobId=3977256230&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
Join us in the global movement for climate action through data-driven soil carbon sequestration. Soils are the unsung hero in the fight against climate change. With your help we want to uncover and use this secret. As data engineer at Seqana you will acquire and harmonize data on soils to unlock the potential of soil carbon sequestration for climate protection.

About Seqana:

Seqana is an EU- and venture-backed start-up building monitoring, reporting and verification (MRV) tools to drive soil carbon sequestration and the transition towards regenerative and climate-preserving agriculture.

One of the most powerful (and underutilized) solutions to climate change is capturing carbon in soils via regenerative agricultural practices. This approach has the potential for several times more climate impact than planting forests, while also providing extensive co-benefits such as erosion mitigation and improved water quality, food security, and biodiversity.

Existing solutions for MRV for the carbon market are one of the main drivers of cost and effort, and often the limiting factor for new project development. At Seqana, we combine satellite imagery, our extensive proprietary library of soil datasets, and machine learning to provide an accurate, cost-effective, and efficient MRV solution for soil organic carbon. Our product enables project developers, large corporations and NGOS with a scalable solution to measure and quantify the impact of their regenerative agricultural practices on soil carbon sequestration, enabling them to report credible CO2 reductions.

Tasks

Our growing team is looking for an ambitious and driven data engineer to help us quantify soil organic carbon and its sequestration by using better data. You will play a crucial part in developing and maintaining our data infrastructure, ensuring the seamless integration and processing of large-scale datasets. Your work will directly contribute to the advancement of our MRV tools, helping to drive effective climate solutions through innovative technology. We're looking for someone who brings an analytical mindset, and data engineering skills, as well as an interest in environmental sciences and data analysis. You will be part of a passionate team that aims to have a direct positive impact on the world. We value proactivity, authenticity, creativity, and empathy in our company culture.

Impact you’ll own:

Design, build, test, and maintain scalable databases and ETL/ELT pipelines for diverse datasets, including satellite and soil data 
Manage the onboarding of new datasets and implement rigorous data quality processes
Build trusted and scalable data models to support our ML initiatives and MRV products
Standardize our data discovery, acquisition, and harmonization processes
Develop analytical data models and dashboards to serve the needs of insights and analytics
Collaborate with stakeholders across the company to constantly optimize the data infrastructure and associated processes.


Requirements

What you bring:

2-4 years of experience in data engineering / science roles, including practical experience building databases / data models and ETL processes (SQL, dbt, Python)
Solid understanding of relational databases, schema design and data quality processes, preferably in the context of MLOps and development.
Familiarity with cloud platforms (AWS, GCP, Azure) and their data services
Practical experience creating dashboards and analytics for technical and/or business insights 
Ability to work and communicate effectively in an agile, fast-paced startup environment
A proactive, can-do attitude with the ability to quickly adapt, learn, and embrace change
Passion for environmental sustainability and climate tech


What makes you stand out:

Bonus: Experience with geospatial data (especially environmental and/or satellite data), software (PostGIS, GeoPandas, GDAL) or soil science is a big plus.
Bonus: Experience with ML development and MLOps, including model training, deployment, and monitoring is a big plus.
Bonus: Practical experience with orchestration tools (e.g. Airflow) is a plus.


Benefits

Benefits you can expect:

Be part of our highly motivated, committed, and international team with flat hierarchies that is working on solving one of societies’ biggest challenges: Climate Change
Witness and shape the evolution of a new business being built
Collaborative DevOps culture with opportunities for continuous learning and improvement
Work in a casual environment with flexible hours and some ability to work from home
Competitive salary, benefits, and compensation package
Drinks, snacks, team events, and your choice of hardware


Seqana is committed to building a workplace culture based on the values of proactivity, authenticity, creativity, and empathy, where equal employment opportunity is guaranteed to all applicants and team members regardless of their race, color, ethnicity, sex, sexual identity, religion, or disability. If this job intrigues you, but you’re thinking you might not have all of the qualifications, please do apply anyway. We are looking for well-rounded people from around the world who can contribute in more ways than just what is listed in this job description. We are excited to build a team that celebrates diversity in all its forms.

Join us if you want to advance climate action in your daily work and are open to new insights and opportunities everyday. Please apply with a short motivational letter and your CV."""
Data Engineer,European Union,3987422721,"Data Engineer
Data Engineer",2Solar by Sollit,Zwolle,Netherlands,On-site,Mid-Senior level,2024-07-30,2024-08-02,0,51,Software Development,https://www.linkedin.com/jobs/search/?currentJobId=3987422721&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
Your opportunity to join the energy transition!

Code to make the world a better place!

Being a Data Engineer at 2Solar gives you an opportunity to contribute to the sustainable energy transition. You will enable other teams and departments to develop new features and optimize our existing software to make our product even better and more useful! Engineers at 2Solar work in an international environment and collaborate on several application modules and innovative projects. Your experience, knowledge, and solutions are welcome in our fast-growing organization.

About The Job

You will be the first full time engineer in our data team. 
Design, implement and maintain data infrastructure of 2Solar.
Develop and maintain datasets, combine data from various systems and make it available for decision-making or service our customers.
Improve data quality in the datasets, ensure that the required data is available in the right system and in the right format.
Analyze data, interpret trends and patterns, and report on results.
Keep data secure and safe across various database engines and AWS availability zones and services.
Fine-tune and improve performance of our databases.

What You'll Bring

4+ experience as a data engineer or a similar role.
General experience with data models, mining, and analysis
Expertise in Snowflake and DBT
Hands-on experience with (SQL) database design.
Experience with using data services of AWS.

Nice to have: 

Programming experience.
Data engineering certification.

Bonus: 

Interest in sustainable software development. 

What's in it for you?

Good salary and good pension arrangement.
Choose your own laptop.
25 holidays on full time basis.
Fresh lunch every day.
A healthy workplace: daily fresh fruit at the office and an ergonomic workplace with standing desk.
An informal, dynamic, inspiring and professional working environment.
FUN quarterly meetings, team events and lots of celebrating.
Continuous professional (or personal) growth.
Plenty of room for personal input.
We are easily accessible by public transport and have plenty of parking spaces.

Join our GreenTech Scale-up!

In this role you will mainly be working on developing new functionalities and optimizing our existing software to an even better scalable product. Are you the person that actively thinks along in a team and like to work on the most diverse projects? If you love to work on modern and sustainable technology, and you are able to help us in our transition, we would love to get in touch.

We are looking for candidates open to hybrid work, which includes working from home and spending at least two days a week in our Zwolle office."""
Data Engineer,European Union,3978438136,"Data Engineer
Data Engineer",Excelerate360,Zwijndrecht,Netherlands,On-site,Mid-Senior level,2024-07-19,2024-08-02,84,51,Advertising Services,https://www.linkedin.com/jobs/search/?currentJobId=3978438136&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
We do not accept candidates based outside of the Netherlands.

Our client delivers data solutions to clients with a natural focus on Master Data Management and Data Quality. By providing highly experienced professionals with hybrid profiles, we establish a foundation for change. Their goal is to use the most advanced technologies available to help clients add value to their organization. They empower data to find the best solutions that increase potential.

Job Description:

As a Data Engineer, you will play a crucial role in designing, developing, and maintaining data architectures and systems that support our client's business objectives. You will work on multiple projects, providing your expertise to ensure the successful implementation of data solutions.

Key Responsibilities:

Design and develop scalable data pipelines and systems
Collaborate with data scientists, analysts and other stakeholders to understand data requirements and deliver solutions
Implement data integration solutions using ETL tools and techniques
Optimize and maintain existing data systems for performance and reliability
Ensure data quality and integrity through rigorous testing and validation
Develop and maintain documentation related to data engineering processes and solutions
Stay up-to-date with emerging trends and technologies in data engineering


Requirements

3+ years of experience as a Data Engineer or in a similar role
Proficiency in SQL and Python
Experience with Azure 
Experience with AWS is a plus Experience/familiarity with Soda, dbt and airflow is a plus
Strong understanding of data warehousing, ETL processes and data integration
Familiarity with big data technologies such as Hadoop, Spark, etc
Excellent problem-solving skills and attention to detail
Ability to work independently and manage multiple projects simultaneously
Strong communication skills in English
Must live in the Netherlands


Preferred Qualifications:

Experience working in a consultancy or similar environment
Experience with Microsoft Fabric


Benefits

Small Team, growing company: Join a close-knit team in a rapidly expanding company where your contributions are valued
Freedom for initiatives: Enjoy the flexibility to propose and lead new initiatives, fostering innovation and creativity
Competitive Compensation: Receive a competitive salary package tailored to your experience and skills
Career growth opportunities: Benefit from ample opportunities for professional development and advancement within the company
 Diverse Projects: Work on a variety of projects across different industries, enhancing your skills and experience
 International focus: Be part of an internationally oriented company, collaborating with clients and colleagues from around the world"""
Data Engineer,European Union,3991359993,"SQL Data Engineer
SQL Data Engineer",Torc,Romania (Remote),N/A,On-site,N/A,2024-08-02,2024-08-02,22,11,Internet Marketplace Platforms,https://www.linkedin.com/jobs/search/?currentJobId=3991359993&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
As a Data Analyst / BI SQL Developer on the Assurance Technology Metrics & Reporting team you will
play a critical role in the data investigation, wrangling, and visualization processes within our reporting
delivery pipeline. Working directly with our business and internal stakeholders you will be responsible
for managing the reporting request intake process, scheduling and leading requirements gathering and
data onboarding sessions with various stakeholders, creating final reporting deliverables, and managing
report update and decommission requests.

You will be expected to adhere to all internal and external data and privacy guidelines, and to maintain a
broad knowledge of various data extraction techniques and Assurance Technology data sources. You will
also be expected to maintain a broad knowledge of various data visualization and reporting techniques,
leveraging human centered design principles in report creation and delivery.
Our aim is to ensure we deliver value from our client’s data using innovative approaches that improve
their data capabilities, analytics and data governance.

Responsibilities (What will you do?)
● Designing and building modern data pipelines and data streams using Azure Data Factory.
● Engineer and orchestrate data flows & pipelines using high quality, easily deployable,
repeatable and extensible codebases that ingest and integrate data from many disparate data
sources in a cloud environment using a progressive tech stack. e.g. SQL, Logic Apps, Azure
Functions, ADLS, Parquet
● Be able to write and perform SQL scripts to filter and join varied data sets for reporting or
querying purposes. Improve existing reporting, code, and procedures
● Develop Power BI reports and dashboards that connect to various on- and off-premise data
sources, ensuring data is optimized.
● Delivering data and reporting requirements to business users and investigating and resolving
reporting errors, data discrepancies and queries
● Collaborating with team members to collect data and produce exception reports to cleanse
data at the origin.
● Communicate effectively with internal teams and stakeholders both virtually and in-person,
including communication with both technical and non-technical team members
● Creating and maintaining documentation that includes the design, requirements and user
manuals for the organization
● Create, analyze and support the delivery of regular and ad hoc reports, suggesting
improvements and changes where necessary.
● Monitoring of existing data feeds to ensure data integrity.
● Proactive investigations into any data discrepancies or anomalies
● Your responsibilities will include exploring the data available and looking for trends and
valuable analysis that might be useful for the team / Business.
● Conduct unit testing and troubleshooting

Skills and Experience (What would we like you to have?)
● Experience working with data warehouses, including data warehouse technical
architectures, infrastructure components, ETL/ELT and reporting/analytic tools and
environments.
● Experience or appetite in building pipelines, using tools such as Microsoft Azure Data Factory.
● Microsoft Transactional SQL (Data aggregation, transformation, relational table joins, etc.)
● Experience of building, enhancing and utilizing Data Warehousing through SQL, providing Data
Analytics, complex data queries and joins and subsequently use of Power BI to present the
results
● Experience in using SQL is essential coupled with other analytics tools, e.g. Power BI.
● Knowledge in SSRS
● Problem-solving, troubleshooting & analytical skills.
● Ability to juggle multiple projects simultaneously
● Excellent attention to detail and ability to work to tight deadlines

Preferred Requirements
● Experience with Microsoft PowerBI, Azure Storage Accounts, Microsoft Power Platform,
On-Prem data Gateways and Data Flows.

Additional Information
● Working hours: 10:00 am - 7 pm RO Time (Flexible can log in one hour earlier)
● No On-call duty.
● No Overtime required.
● No travel required."""
Data Engineer,European Union,3987349641,"Azure Data Engineer
Azure Data Engineer",JSAN Consulting Group,Germany (Remote),N/A,On-site,Full-time,2024-07-30,2024-08-02,0,201,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3987349641&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
JSAN Consulting provides technology consulting and staffing solutions throughout Europe, USA and APAC, and we pride ourselves on our highly professional and service focused approach. Our unique value proposition of being better, faster and less expensive is compelling to our clients, most of whom regard us as a long term partner helping them to achieve their business objectives.

Headquartered in Berlin, Germany and with operations in four countries in Europe, providing recruitment services, technology consulting, software development and outsourcing services.

The Role

Your Responsibilities Will Include

Platform Development and Management:
Data Ingestion and Integration:
Data Processing and Analytics:
Data Storage and Management:
Collaboration and Communication:
CI/CD Pipelines Development:
Testing and Quality Assurance:
Documentation and Training:
Design and develop big data platform architecture based on Azure cloud services such as Azure HDInsight, Azure Databricks, Azure Data Lake Store, and others
Design and implement data ingestion pipelines for ingesting data from various sources such as databases, APIs, and other sources
Develop and manage big data processing pipelines for performing data transformations, aggregations, and analytics using Apache Spark and other big data technologies
Design and implement data storage mechanisms based on Azure cloud services such as Azure Data Lake Store, Azure Blob Storage, and others
Work closely with other members of the team such as data scientists, data analysts, and software engineers to understand their requirements and integrate their solutions into the big data platform
Develop and implement test strategies, plans, and cases for Azure SQL, Azure Databricks, and Azure Data Factory

Ideal Profile

Technical Skills

Expertise in Azure cloud services such as Azure HDInsight, Azure Databricks, Azure Data Lake Store, and others
Expertise in big data processing technologies such as Apache Spark, Hadoop, and others
Proficiency in programming languages such as Python, Java, Scala, and others
Experience in developing and managing data integration pipelines using tools such as Azure Data Factory, Apache Nifi, and others
Experience in developing and managing data storage mechanisms based on Azure cloud services such as Azure Data Lake Store, Azure Blob Storage, and others
 Bachelor's or Master's degree in Computer Science, Engineering, or related field
8+ years of experience in big data engineering, data warehousing, and data integration
3+ years of experience in cloud-based big data platform development using Azure cloud services
Experience in developing CI/CD pipelines for Azure SQL, Azure Databricks, and Azure Data Factory
Experience in developing and managing big data processing pipelines using Apache Spark, Hadoop, and other big data technologies

Soft Skills

Excellent problem-solving and analytical skills
Strong communication and interpersonal skills
Ability to work independently and in a team environment
Strong attention to detail and commitment to quality
Ability to manage multiple projects and priorities
Willingness to learn and adapt to new technologies and approaches

What's on Offer?

Work within a company with a solid track record of success
Flexible working options
Join a well known brand within IT Services"""
Data Engineer,European Union,3984459509,"Data Engineer
Data Engineer",Kingfisher Recruitment,Hamme,Belgium,On-site,Entry level,2024-07-29,2024-08-02,1,2,Staffing and Recruiting,https://www.linkedin.com/jobs/search/?currentJobId=3984459509&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
Onderneming

Voor een internationale onderneming regio Hamme, die gespecialiseerd is in de ontwikkeling en productie van sound systems, zijn we opzoek naar een Data Engineer om hun team te versterken.

Takenpakket

Als Data Engineer sta je in voor het digitaliseren van hun verschillende bedrijfsprocessen. Hiervoor neem je de operationele bedrijfsbehoeften op en vertaal je deze om tot een zo optimaal en innovatieve oplossing te komen. Je doet dit door het opzetten, transformeren en beschikbaar stellen van de data aan de diverse end-users.

Profiel

 Je bent in het bezit van een Master diploma 
Je hebt reeds enkele jaren ervaring in een gelijkaardige functie
Interesse en ervaring in het analyseren van bedrijfsprocessen
Kennis van Mendix en/of Azure services zijn een pluspunt
Teamgericht en communicatief
Nauwkeurig & stressbestendig
Je spreekt vlot Nederlands en Engels


Aanbod

 Hoog brutoloon 
Maaltijdcheques
Hospitalisatieverzekering
Groepsverzekering
Goede work-life balance
Veel vakantie met bijkomende sector-dagen
Internationaal reizen"""
Data Engineer,European Union,3991392823,"Data Engineer
Data Engineer with verification",emagine,Cracow,Poland,On-site,N/A,2024-08-02,2024-08-02,1,1001,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3991392823&keywords=Data%20Engineer&location=European%20Union&refresh=true,"""About the job
PROJECT INFORMATION:

Industry: banking
Location: Cracow – 1x peer week at the office
Rate: to be agreed
Project language: English, Polish

YOUR TASKS:

Collate, structure, and organise raw data into formats ready for interpretation. 
Driving vague scope and requirements to completion and working with IT teams for delivery
Act as a trusted advisor to the Leadership in the decision-making processes. 
Ability to work closely with regional heads focusing on management information system. 
Extract data, identify and investigate patterns, dig into areas of inconsistency, accurately interrupt trends. 
Ensure quality Management Information (M.I.) is made available, formatted, and presented for decision making. 
Raise the profile of the organisation through effective communications and recognition. 
Have both analytical and technical abilities. 
Collate, structure, and organise raw data into formats ready for interpretation. 

REQUIREMENTS:

Experience in a finance / banking setting preferable within Investment Banking, security services or Markets. 
Experience working closely with front office, senior stakeholders, Technology, and the global team. 
Technical ability and skills will include SQL, eExperience of cCloud BigData technologies such as BigQuery in GCP, Redshift in AWS etc. 
Familiarity with Technology delivery and Agile practices to challenge and solve / unblock issues. 
Proven track record of driving process improvement initiatives
Ability to multitask, work under pressure, and prioritize competing priorities. 

WE OFFER:

Interesting and stable development projects and long-term cooperation. 
Attractive remuneration in the B2B model depending on competences and experience. 
Co-financing of private medical care (Medicover) and Multisport card. 
Occasional company integration meetings. 
Referral program. 
Emagine mobile application – easy reporting of working time, quick access to new offers."""
